Supplier,Purchaser,CDR Group,CDR Method,Status,Tons Purchased,Total price (USD),Tons Delivered,Announcement Date,Announcement Link,Demand-side Marketplace,Supply-side Marketplace,Year,Month,Day
UNDO,Brad Jannenga,ERW,Enhanced Weathering,undelivered,2.0,,,2023-06-10 00:00:00,0,0,Supercritical,2023,06,10
Charm Industrial,Aggregate Purchase,BiCRS,Bio-oil,undelivered,10.0,,,2022-08-02 00:00:00,Marketplace purchaser report,Klimate,Klimate,2022,08,02
Wakefield Biochar,David Geaslen,BiCRS,Biochar,LOI/MOU,1.0,,,2023-06-15 00:00:00,0,0,Supercritical,2023,06,15
Charm Industrial,Aggregate Purchase,BiCRS,Bio-oil,undelivered,40.0,,,2023-05-30 00:00:00,Marketplace purchaser report,Klimate,Klimate,2023,05,30
Mash makes,Aggregate Purchase,BiCRS,Biochar,undelivered,1.0,,,2023-12-15 00:00:00,patch order id: ord_prod_596836617a3cb30e38327d9dab18d7af,0,Patch,2023,12,15
Charm Industrial,Kirk & Co,BiCRS,Bio-oil,undelivered,1.0,,,2023-07-11 00:00:00,0,0,Supercritical,2023,07,11
Freres Biochar,What3words,BiCRS,Biochar,delivered,234.0,,234.0,2021-09-23 00:00:00,supercritical report,0,Supercritical,2021,09,23
GreenSand,Aggregate Purchase,ERW,Enhanced Weathering,undelivered,2.0,,,2023-12-15 00:00:00,patch order id: ord_prod_d7b76bd133cf7c717ce6c714330e87d1,0,Patch,2023,12,15
GreenSand,Aggregate Purchase,ERW,Enhanced Weathering,delivered,0.2,,0.2,2023-12-15 00:00:00,patch order id: ord_prod_47e1fe991d7a8123fa90c13f8c78bcbd,0,Patch,2023,12,15
Charm Industrial,Individual,BiCRS,Bio-oil,delivered,0.0,,0.0,2022-04-01 00:00:00,https://charmindustrial.com/order?orderId=recRHrQ89CgExAffu,0,0,2022,04,01
Charm Industrial,Individual,BiCRS,Bio-oil,delivered,52.0,,52.0,2021-01-11 00:00:00,https://charmindustrial.com/order?orderId=rec9QJkJ11Ahs3WiY,0,0,2021,01,11
Pyrocal,Aggregate Purchase,BiCRS,Biochar,delivered,1.0,,1.0,2023-06-07 00:00:00,https://registry.puro.earth/carbon-sequestration/retirements,Pledge,Puro,2023,06,07
Charm Industrial,Individual,BiCRS,Bio-oil,delivered,0.1,,0.1,2021-10-13 00:00:00,https://charmindustrial.com/order?orderId=recUwYkBBx3WndgMB,0,0,2021,10,13
CarbonCure,Moomin Characters,DAC/Mineralization,Mineralization,delivered,148.0,,148.0,2023-06-01 00:00:00,https://sustainability.lune.co/moomin?certificate=1,0,Lune,2023,06,01
Carbofex,Aggregate Purchase,BiCRS,Biochar,delivered,1.0,,1.0,2020-11-18 00:00:00,https://registry.puro.earth/carbon-sequestration,0,Puro,2020,11,18
CarbonCure,Aggregate Purchase,DAC/Mineralization,Mineralization,delivered,4.4,,4.4,2023-12-15 00:00:00,patch order id: ord_prod_45850f9a9dea40c69e8bc45069f27275,0,Patch,2023,12,15
